NUTS Region;CO;NO;NO2;O3;PM10;SO2
Algarve;;2.0136714840267644;7.511390823940449;58.00473893255696;13.632518086484817;
Alsace;0.2715559038360623;12.960634926930249;23.000584370480983;52.0162784192593;17.2628078962765;
Arnsberg;;24.55627740140084;31.221447418835098;47.5199134497421;18.64844508709889;
Attiki;0.6326073026423847;22.624319595645414;31.68243168184848;44.25176356117733;24.626760690715127;7.156530113341729
Berlin;0.3176729201077732;13.385495988450089;25.365312086720063;45.693973802546765;18.921961392152323;1.2073695757770406
Bratislavský kraj;0.3175925034250174;;19.042966475315087;54.65224083613988;20.55912542847054;2.517614968003552
Braunschweig;0.3219385765474751;9.643907539958692;17.796714369324118;52.91801288181952;13.586477812263206;0.2985897494949674
Bremen;0.2440162043659355;8.845000324913803;20.409317635002367;46.45767224248777;16.114138197939695;1.13869741316493
Bucuresti - Ilfov;0.564156648327867;;33.45414909896496;43.85431438120953;;5.60069301730641
Budapest;0.53053819257507;;27.49452011726872;43.73263706157677;24.965;4.5696185591113005
Canarias;0.3779315238424636;3.895915046965297;12.851272849613098;61.61411113773499;28.36362598470145;4.323678290213723
Chemnitz;;12.116325966326878;18.21297586647733;52.5148784622259;14.317913854339542;
Darmstadt;0.2586929396397859;15.164729367238095;26.71930308358377;44.30065442866909;15.805315662209892;0.9654624813098928
Detmold;;11.775867498752604;20.77951625819451;47.674813103463045;17.08855238763206;
Dresden;;15.15704342799462;20.8982507556142;44.17042426967065;14.757876501229998;1.8179824676263296
Freiburg;0.2422176070151121;12.902631882050612;20.59753277023352;53.81052095447192;13.030068918261367;
Friuli-Venezia Giulia;0.4706021758178057;8.324585116341984;20.61763791977723;56.84399153623904;18.797537545106835;1.174246596325098
Gelderland;0.3094287749496643;7.142108420740059;20.11643220316229;50.17560293188965;21.03517906011769;
Gießen;0.3240427368417746;17.132456465612332;25.666134585668853;42.626983001855;14.533547396397934;0.918340679244112
Grad Zagreb;0.412673383000724;;27.852900991320045;43.206774948948826;25.479143439016383;2.2860922706871705
Groningen;;5.927934442996617;13.968458305628056;52.96533433520449;19.128118399513976;
Hamburg;0.3280460908285186;14.686789565312129;26.475072882948496;47.596296549644194;16.642169203923313;3.4517808057182666
Hannover;0.3376584165275689;17.41455726585296;25.263292518020616;51.76017764198446;14.23873831489572;
Hovedstaden;0.2229994378845783;9.351319059379028;15.776098976366924;54.82489927131466;22.514155298996137;1.1663655606244594
Illes Balears;0.3821411819781913;6.951991600822789;15.733889310083397;65.38359124087592;17.420087591240875;2.841972557757711
Karlsruhe;0.2482573571800141;14.929095170192666;24.37618881480048;50.37604141411231;15.149430413846565;
Kassel;0.3069663504723585;14.36978963847856;23.689523259862348;47.69658685325398;16.24765048187014;0.8731801898185134
Koblenz;0.2352318319183297;16.333868355835204;30.21209896411407;40.679039497861815;15.15440725249033;1.07278550344596
Kypros;0.378844481205602;;23.119277207849365;61.69258001867388;30.828688520901608;2.629393740429761
Kärnten;0.2847207898333926;10.126376063462798;20.495891136781488;41.69829233434908;16.81105189967626;1.0649789580110274
Köln;;11.111478758685768;24.30644580421401;47.85517586973405;14.921665387742614;
La Rioja;0.3369272363935612;6.445984421384467;14.65487221186922;47.9671645301623;20.690154238375097;3.2141906832536145
Leipzig;;15.267904053255291;22.47775032100505;46.915416539497386;15.546191982930353;1.7674200749611115
Liguria;0.6335420709545359;;23.984995859011384;63.49087187919186;17.908239229640007;4.5797412950423295
Limburg (NL);;5.231943257041305;15.271429473893027;54.563937467026136;15.754112578207463;
Luxembourg;0.2116216216216113;9.7999462527907;22.742917708115925;49.55691295665453;17.73144570663803;1.95788748048751
Malta;0.3177322467264316;15.4171661776734;24.30176113478616;62.512136806792064;34.53852602306852;0.5900428387750557
Marche;0.6859384124023504;;20.95836219232618;48.37822290015718;23.12901644219436;3.849223065360104
Mittelfranken;0.3398507347846455;15.62677505055711;24.855440519207573;43.31012653334203;18.43620701782004;
Molise;;7.245554513179396;17.139802302357594;55.68320508592009;15.6;3.5625274715289312
Moravskoslezsko;0.3674492299062626;5.755051700846328;17.074978812889174;50.44869353377003;22.050206653797265;6.639260363547752
Münster;;18.47984202322169;26.695806784263443;;23.39871389787887;
Noord-Brabant;;7.644136601075629;19.741960876432444;49.020283025793965;17.708156477445574;
Noord-Holland;0.3506645420480769;8.596723647336015;22.111767722517943;48.34675803183331;17.187567893194515;0.2808451678189573
Nordjylland;0.1904812324245017;7.311857283431329;13.253374849288443;58.94630988149835;;0.8709559337044321
Nordwestschweiz;;11.316318513036322;23.611860865932226;50.41785420117463;14.215779771674162;0.9821914713573048
Oberfranken;;10.216259626460245;20.022763379544124;;15.231560691048283;
Oberpfalz;0.3007471150966189;23.723437592205308;29.56030949853216;;17.653149494516338;
Opolskie;;2.8121608855255484;13.897800959133727;48.25952157809365;23.15818084962167;3.634094030945525
País Vasco;0.2348640098676609;8.510310727843653;20.36141393346746;46.47044395388766;16.451223281580635;5.503249202204816
Praha;0.3881996733057148;9.557885501327586;22.07110216737993;49.39731106171413;18.435150784233475;1.86247883836725
Prov. Antwerpen;0.2461913117086148;;25.64803800912976;39.767976441631504;22.16757432328944;1.4698356807511737
Prov. Hainaut;0.2212224437077877;;18.938677860623496;44.64779270633397;15.773411485994917;
Prov. Liège;0.2041165503969243;;16.65737774285196;49.66904591958125;14.476397262031943;2.589235459662289
Prov. Namur;;;17.219476574366166;46.87431178228724;16.80771435715037;
Provincia Autonoma di Bolzano/Bozen;0.3261397399953712;20.701711125110943;29.722930201710163;39.995632140197394;16.044644524313764;0.8005979134750937
Provincia Autonoma di Trento;0.677439652132468;;32.73801076739239;45.24092905015022;20.030261348005503;2.0815005707068703
Região Autónoma da Madeira (PT);0.1200847013189685;21.80416048877923;21.84691632129827;72.2295142457866;15.81935759134122;2.621576003322009
