city_name,city_code,age,sex,measurement_date,name,value,unit
Wien,AT13,Total,Females,2011,All causes of death (A00-Y89) excluding S00-T98,860.27,Rate
Wien,AT13,Total,Females,2012,All causes of death (A00-Y89) excluding S00-T98,884.4,Rate
Wien,AT13,Total,Females,2013,All causes of death (A00-Y89) excluding S00-T98,872.69,Rate
Wien,AT13,Total,Females,2014,All causes of death (A00-Y89) excluding S00-T98,838.31,Rate
Wien,AT13,Total,Females,2015,All causes of death (A00-Y89) excluding S00-T98,841.58,Rate
Wien,AT13,Total,Females,2016,All causes of death (A00-Y89) excluding S00-T98,820.75,Rate
Wien,AT13,Total,Females,2017,All causes of death (A00-Y89) excluding S00-T98,835.68,Rate
Wien,AT13,Total,Females,2018,All causes of death (A00-Y89) excluding S00-T98,837.5,Rate
Wien,AT13,Total,Females,2019,All causes of death (A00-Y89) excluding S00-T98,782.56,Rate
Wien,AT13,Total,Females,2020,All causes of death (A00-Y89) excluding S00-T98,858.39,Rate
Wien,AT13,Total,Females,2011,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",25.09,Rate
Wien,AT13,Total,Females,2012,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",24.12,Rate
Wien,AT13,Total,Females,2013,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",20.02,Rate
Wien,AT13,Total,Females,2014,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",23.94,Rate
Wien,AT13,Total,Females,2015,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",21.99,Rate
Wien,AT13,Total,Females,2016,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",21.48,Rate
Wien,AT13,Total,Females,2017,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",22.05,Rate
Wien,AT13,Total,Females,2018,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",20.34,Rate
Wien,AT13,Total,Females,2019,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",21.0,Rate
Wien,AT13,Total,Females,2020,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",17.19,Rate
Wien,AT13,Total,Females,2011,"Malignant neoplasm of trachea, bronchus and lung",41.21,Rate
Wien,AT13,Total,Females,2012,"Malignant neoplasm of trachea, bronchus and lung",41.46,Rate
Wien,AT13,Total,Females,2013,"Malignant neoplasm of trachea, bronchus and lung",39.24,Rate
Wien,AT13,Total,Females,2014,"Malignant neoplasm of trachea, bronchus and lung",46.65,Rate
Wien,AT13,Total,Females,2015,"Malignant neoplasm of trachea, bronchus and lung",43.13,Rate
Wien,AT13,Total,Females,2016,"Malignant neoplasm of trachea, bronchus and lung",46.71,Rate
Wien,AT13,Total,Females,2017,"Malignant neoplasm of trachea, bronchus and lung",43.46,Rate
Wien,AT13,Total,Females,2018,"Malignant neoplasm of trachea, bronchus and lung",45.86,Rate
Wien,AT13,Total,Females,2019,"Malignant neoplasm of trachea, bronchus and lung",45.94,Rate
Wien,AT13,Total,Females,2020,"Malignant neoplasm of trachea, bronchus and lung",47.96,Rate
Wien,AT13,Total,Females,2011,Malignant melanoma of skin,4.13,Rate
Wien,AT13,Total,Females,2012,Malignant melanoma of skin,2.46,Rate
Wien,AT13,Total,Females,2013,Malignant melanoma of skin,2.18,Rate
Wien,AT13,Total,Females,2014,Malignant melanoma of skin,2.56,Rate
Wien,AT13,Total,Females,2015,Malignant melanoma of skin,2.21,Rate
Wien,AT13,Total,Females,2016,Malignant melanoma of skin,2.87,Rate
Wien,AT13,Total,Females,2017,Malignant melanoma of skin,3.44,Rate
Wien,AT13,Total,Females,2018,Malignant melanoma of skin,2.82,Rate
Wien,AT13,Total,Females,2019,Malignant melanoma of skin,2.95,Rate
Wien,AT13,Total,Females,2020,Malignant melanoma of skin,2.93,Rate
Wien,AT13,Total,Females,2011,Malignant neoplasm of breast,37.04,Rate
Wien,AT13,Total,Females,2012,Malignant neoplasm of breast,36.33,Rate
Wien,AT13,Total,Females,2013,Malignant neoplasm of breast,39.58,Rate
Wien,AT13,Total,Females,2014,Malignant neoplasm of breast,37.65,Rate
Wien,AT13,Total,Females,2015,Malignant neoplasm of breast,34.9,Rate
Wien,AT13,Total,Females,2016,Malignant neoplasm of breast,37.48,Rate
Wien,AT13,Total,Females,2017,Malignant neoplasm of breast,33.34,Rate
Wien,AT13,Total,Females,2018,Malignant neoplasm of breast,35.55,Rate
Wien,AT13,Total,Females,2019,Malignant neoplasm of breast,33.54,Rate
Wien,AT13,Total,Females,2020,Malignant neoplasm of breast,34.1,Rate
Wien,AT13,Total,Females,2011,Diabetes mellitus,24.63,Rate
Wien,AT13,Total,Females,2012,Diabetes mellitus,27.42,Rate
Wien,AT13,Total,Females,2013,Diabetes mellitus,28.14,Rate
Wien,AT13,Total,Females,2014,Diabetes mellitus,32.53,Rate
Wien,AT13,Total,Females,2015,Diabetes mellitus,35.35,Rate
Wien,AT13,Total,Females,2016,Diabetes mellitus,38.17,Rate
Wien,AT13,Total,Females,2017,Diabetes mellitus,33.99,Rate
Wien,AT13,Total,Females,2018,Diabetes mellitus,31.07,Rate
Wien,AT13,Total,Females,2019,Diabetes mellitus,26.83,Rate
Wien,AT13,Total,Females,2020,Diabetes mellitus,26.88,Rate
Wien,AT13,Total,Females,2011,Mental and behavioural disorders (F00-F99),6.01,Rate
Wien,AT13,Total,Females,2012,Mental and behavioural disorders (F00-F99),7.84,Rate
Wien,AT13,Total,Females,2013,Mental and behavioural disorders (F00-F99),11.6,Rate
Wien,AT13,Total,Females,2014,Mental and behavioural disorders (F00-F99),10.68,Rate
Wien,AT13,Total,Females,2015,Mental and behavioural disorders (F00-F99),12.77,Rate
Wien,AT13,Total,Females,2016,Mental and behavioural disorders (F00-F99),16.46,Rate
Wien,AT13,Total,Females,2017,Mental and behavioural disorders (F00-F99),32.74,Rate
Wien,AT13,Total,Females,2018,Mental and behavioural disorders (F00-F99),36.58,Rate
Wien,AT13,Total,Females,2019,Mental and behavioural disorders (F00-F99),28.52,Rate
Wien,AT13,Total,Females,2020,Mental and behavioural disorders (F00-F99),25.52,Rate
Wien,AT13,Total,Females,2012,Other mental and behavioural disorders (remainder of F00-F99),0.24,Rate
Wien,AT13,Total,Females,2013,Other mental and behavioural disorders (remainder of F00-F99),0.49,Rate
Wien,AT13,Total,Females,2014,Other mental and behavioural disorders (remainder of F00-F99),0.31,Rate
Wien,AT13,Total,Females,2015,Other mental and behavioural disorders (remainder of F00-F99),0.32,Rate
Wien,AT13,Total,Females,2016,Other mental and behavioural disorders (remainder of F00-F99),0.82,Rate
Wien,AT13,Total,Females,2017,Other mental and behavioural disorders (remainder of F00-F99),0.56,Rate
Wien,AT13,Total,Females,2018,Other mental and behavioural disorders (remainder of F00-F99),0.32,Rate
Wien,AT13,Total,Females,2019,Other mental and behavioural disorders (remainder of F00-F99),0.59,Rate
Wien,AT13,Total,Females,2020,Other mental and behavioural disorders (remainder of F00-F99),0.09,Rate
Wien,AT13,Total,Females,2011,Other ischaemic heart diseases,147.62,Rate
Wien,AT13,Total,Females,2012,Other ischaemic heart diseases,162.48,Rate
Wien,AT13,Total,Females,2013,Other ischaemic heart diseases,159.22,Rate
Wien,AT13,Total,Females,2014,Other ischaemic heart diseases,156.14,Rate
Wien,AT13,Total,Females,2015,Other ischaemic heart diseases,147.73,Rate
Wien,AT13,Total,Females,2016,Other ischaemic heart diseases,135.84,Rate
Wien,AT13,Total,Females,2017,Other ischaemic heart diseases,128.94,Rate
Wien,AT13,Total,Females,2018,Other ischaemic heart diseases,117.04,Rate
Wien,AT13,Total,Females,2019,Other ischaemic heart diseases,104.96,Rate
Wien,AT13,Total,Females,2020,Other ischaemic heart diseases,96.04,Rate
Wien,AT13,Total,Females,2011,Acute myocardial infarction including subsequent myocardial infarction,33.15,Rate
Wien,AT13,Total,Females,2012,Acute myocardial infarction including subsequent myocardial infarction,31.56,Rate
Wien,AT13,Total,Females,2013,Acute myocardial infarction including subsequent myocardial infarction,26.83,Rate
Wien,AT13,Total,Females,2014,Acute myocardial infarction including subsequent myocardial infarction,27.42,Rate
Wien,AT13,Total,Females,2015,Acute myocardial infarction including subsequent myocardial infarction,24.78,Rate
Wien,AT13,Total,Females,2016,Acute myocardial infarction including subsequent myocardial infarction,26.3,Rate
Wien,AT13,Total,Females,2017,Acute myocardial infarction including subsequent myocardial infarction,24.64,Rate
Wien,AT13,Total,Females,2018,Acute myocardial infarction including subsequent myocardial infarction,23.42,Rate
Wien,AT13,Total,Females,2019,Acute myocardial infarction including subsequent myocardial infarction,20.44,Rate
Wien,AT13,Total,Females,2020,Acute myocardial infarction including subsequent myocardial infarction,26.09,Rate
Wien,AT13,Total,Females,2011,Cerebrovascular diseases,48.6,Rate
Wien,AT13,Total,Females,2012,Cerebrovascular diseases,49.49,Rate
Wien,AT13,Total,Females,2013,Cerebrovascular diseases,55.37,Rate
Wien,AT13,Total,Females,2014,Cerebrovascular diseases,48.06,Rate
Wien,AT13,Total,Females,2015,Cerebrovascular diseases,49.25,Rate
Wien,AT13,Total,Females,2016,Cerebrovascular diseases,43.06,Rate
Wien,AT13,Total,Females,2017,Cerebrovascular diseases,48.02,Rate
Wien,AT13,Total,Females,2018,Cerebrovascular diseases,49.24,Rate
Wien,AT13,Total,Females,2019,Cerebrovascular diseases,42.87,Rate
Wien,AT13,Total,Females,2020,Cerebrovascular diseases,44.62,Rate
Wien,AT13,Total,Females,2011,Chronic lower respiratory diseases,31.38,Rate
Wien,AT13,Total,Females,2012,Chronic lower respiratory diseases,29.69,Rate
Wien,AT13,Total,Females,2013,Chronic lower respiratory diseases,30.32,Rate
Wien,AT13,Total,Females,2014,Chronic lower respiratory diseases,26.98,Rate
Wien,AT13,Total,Females,2015,Chronic lower respiratory diseases,28.75,Rate
Wien,AT13,Total,Females,2016,Chronic lower respiratory diseases,34.49,Rate
Wien,AT13,Total,Females,2017,Chronic lower respiratory diseases,39.19,Rate
Wien,AT13,Total,Females,2018,Chronic lower respiratory diseases,41.45,Rate
Wien,AT13,Total,Females,2019,Chronic lower respiratory diseases,43.85,Rate
Wien,AT13,Total,Females,2020,Chronic lower respiratory diseases,40.15,Rate
Wien,AT13,Total,Females,2011,Asthma and status asthmaticus,1.17,Rate
Wien,AT13,Total,Females,2012,Asthma and status asthmaticus,1.06,Rate
Wien,AT13,Total,Females,2013,Asthma and status asthmaticus,1.06,Rate
Wien,AT13,Total,Females,2014,Asthma and status asthmaticus,0.56,Rate
Wien,AT13,Total,Females,2015,Asthma and status asthmaticus,1.12,Rate
Wien,AT13,Total,Females,2016,Asthma and status asthmaticus,0.96,Rate
Wien,AT13,Total,Females,2017,Asthma and status asthmaticus,1.26,Rate
Wien,AT13,Total,Females,2018,Asthma and status asthmaticus,0.42,Rate
Wien,AT13,Total,Females,2019,Asthma and status asthmaticus,1.24,Rate
Wien,AT13,Total,Females,2020,Asthma and status asthmaticus,0.69,Rate
Wien,AT13,65 years or over,Females,2011,All causes of death (A00-Y89) excluding S00-T98,3715.81,Rate
Wien,AT13,65 years or over,Females,2012,All causes of death (A00-Y89) excluding S00-T98,3893.51,Rate
Wien,AT13,65 years or over,Females,2013,All causes of death (A00-Y89) excluding S00-T98,3843.97,Rate
Wien,AT13,65 years or over,Females,2014,All causes of death (A00-Y89) excluding S00-T98,3668.22,Rate
Wien,AT13,65 years or over,Females,2015,All causes of death (A00-Y89) excluding S00-T98,3738.86,Rate
Wien,AT13,65 years or over,Females,2016,All causes of death (A00-Y89) excluding S00-T98,3623.84,Rate
Wien,AT13,65 years or over,Females,2017,All causes of death (A00-Y89) excluding S00-T98,3756.18,Rate
Wien,AT13,65 years or over,Females,2018,All causes of death (A00-Y89) excluding S00-T98,3717.59,Rate
Wien,AT13,65 years or over,Females,2019,All causes of death (A00-Y89) excluding S00-T98,3491.84,Rate
Wien,AT13,65 years or over,Females,2020,All causes of death (A00-Y89) excluding S00-T98,3856.65,Rate
Wien,AT13,65 years or over,Females,2011,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",105.4,Rate
Wien,AT13,65 years or over,Females,2012,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",105.51,Rate
Wien,AT13,65 years or over,Females,2013,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",86.92,Rate
Wien,AT13,65 years or over,Females,2014,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",100.39,Rate
Wien,AT13,65 years or over,Females,2015,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",95.47,Rate
Wien,AT13,65 years or over,Females,2016,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",92.05,Rate
Wien,AT13,65 years or over,Females,2017,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",94.38,Rate
Wien,AT13,65 years or over,Females,2018,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",83.95,Rate
Wien,AT13,65 years or over,Females,2019,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",94.63,Rate
Wien,AT13,65 years or over,Females,2020,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",70.99,Rate
Wien,AT13,65 years or over,Females,2011,"Malignant neoplasm of trachea, bronchus and lung",132.5,Rate
Wien,AT13,65 years or over,Females,2012,"Malignant neoplasm of trachea, bronchus and lung",142.92,Rate
Wien,AT13,65 years or over,Females,2013,"Malignant neoplasm of trachea, bronchus and lung",127.39,Rate
Wien,AT13,65 years or over,Females,2014,"Malignant neoplasm of trachea, bronchus and lung",155.49,Rate
Wien,AT13,65 years or over,Females,2015,"Malignant neoplasm of trachea, bronchus and lung",144.6,Rate
Wien,AT13,65 years or over,Females,2016,"Malignant neoplasm of trachea, bronchus and lung",170.0,Rate
Wien,AT13,65 years or over,Females,2017,"Malignant neoplasm of trachea, bronchus and lung",159.15,Rate
Wien,AT13,65 years or over,Females,2018,"Malignant neoplasm of trachea, bronchus and lung",165.3,Rate
Wien,AT13,65 years or over,Females,2019,"Malignant neoplasm of trachea, bronchus and lung",164.21,Rate
Wien,AT13,65 years or over,Females,2020,"Malignant neoplasm of trachea, bronchus and lung",189.74,Rate
Wien,AT13,65 years or over,Females,2011,Malignant melanoma of skin,14.5,Rate
Wien,AT13,65 years or over,Females,2012,Malignant melanoma of skin,6.5,Rate
Wien,AT13,65 years or over,Females,2013,Malignant melanoma of skin,7.64,Rate
Wien,AT13,65 years or over,Females,2014,Malignant melanoma of skin,10.85,Rate
Wien,AT13,65 years or over,Females,2015,Malignant melanoma of skin,7.54,Rate
Wien,AT13,65 years or over,Females,2016,Malignant melanoma of skin,9.98,Rate
Wien,AT13,65 years or over,Females,2017,Malignant melanoma of skin,12.63,Rate
Wien,AT13,65 years or over,Females,2018,Malignant melanoma of skin,10.19,Rate
Wien,AT13,65 years or over,Females,2019,Malignant melanoma of skin,13.05,Rate
Wien,AT13,65 years or over,Females,2020,Malignant melanoma of skin,11.26,Rate
Wien,AT13,65 years or over,Females,2011,Malignant neoplasm of breast,123.55,Rate
Wien,AT13,65 years or over,Females,2012,Malignant neoplasm of breast,127.34,Rate
Wien,AT13,65 years or over,Females,2013,Malignant neoplasm of breast,145.61,Rate
Wien,AT13,65 years or over,Females,2014,Malignant neoplasm of breast,131.24,Rate
Wien,AT13,65 years or over,Females,2015,Malignant neoplasm of breast,130.77,Rate
Wien,AT13,65 years or over,Females,2016,Malignant neoplasm of breast,136.72,Rate
Wien,AT13,65 years or over,Females,2017,Malignant neoplasm of breast,120.64,Rate
Wien,AT13,65 years or over,Females,2018,Malignant neoplasm of breast,134.16,Rate
Wien,AT13,65 years or over,Females,2019,Malignant neoplasm of breast,130.11,Rate
Wien,AT13,65 years or over,Females,2020,Malignant neoplasm of breast,134.19,Rate
Wien,AT13,65 years or over,Females,2011,Diabetes mellitus,113.59,Rate
Wien,AT13,65 years or over,Females,2012,Diabetes mellitus,130.18,Rate
Wien,AT13,65 years or over,Females,2013,Diabetes mellitus,131.37,Rate
Wien,AT13,65 years or over,Females,2014,Diabetes mellitus,157.73,Rate
Wien,AT13,65 years or over,Females,2015,Diabetes mellitus,174.05,Rate
Wien,AT13,65 years or over,Females,2016,Diabetes mellitus,182.22,Rate
Wien,AT13,65 years or over,Females,2017,Diabetes mellitus,161.78,Rate
Wien,AT13,65 years or over,Females,2018,Diabetes mellitus,144.78,Rate
Wien,AT13,65 years or over,Females,2019,Diabetes mellitus,132.4,Rate
Wien,AT13,65 years or over,Females,2020,Diabetes mellitus,130.5,Rate
Wien,AT13,65 years or over,Females,2011,Mental and behavioural disorders (F00-F99),10.91,Rate
Wien,AT13,65 years or over,Females,2012,Mental and behavioural disorders (F00-F99),26.51,Rate
Wien,AT13,65 years or over,Females,2013,Mental and behavioural disorders (F00-F99),39.63,Rate
Wien,AT13,65 years or over,Females,2014,Mental and behavioural disorders (F00-F99),36.41,Rate
Wien,AT13,65 years or over,Females,2015,Mental and behavioural disorders (F00-F99),44.66,Rate
Wien,AT13,65 years or over,Females,2016,Mental and behavioural disorders (F00-F99),70.31,Rate
Wien,AT13,65 years or over,Females,2017,Mental and behavioural disorders (F00-F99),153.09,Rate
Wien,AT13,65 years or over,Females,2018,Mental and behavioural disorders (F00-F99),176.27,Rate
Wien,AT13,65 years or over,Females,2019,Mental and behavioural disorders (F00-F99),133.89,Rate
Wien,AT13,65 years or over,Females,2020,Mental and behavioural disorders (F00-F99),119.55,Rate
Wien,AT13,65 years or over,Females,2012,Other mental and behavioural disorders (remainder of F00-F99),0.0,Rate
Wien,AT13,65 years or over,Females,2013,Other mental and behavioural disorders (remainder of F00-F99),0.4,Rate
Wien,AT13,65 years or over,Females,2014,Other mental and behavioural disorders (remainder of F00-F99),0.59,Rate
Wien,AT13,65 years or over,Females,2015,Other mental and behavioural disorders (remainder of F00-F99),0.53,Rate
Wien,AT13,65 years or over,Females,2016,Other mental and behavioural disorders (remainder of F00-F99),1.2,Rate
Wien,AT13,65 years or over,Females,2017,Other mental and behavioural disorders (remainder of F00-F99),0.83,Rate
Wien,AT13,65 years or over,Females,2018,Other mental and behavioural disorders (remainder of F00-F99),0.63,Rate
Wien,AT13,65 years or over,Females,2019,Other mental and behavioural disorders (remainder of F00-F99),2.0,Rate
