NUTS;City;Average Concentration
AT22;Graz;1.409747125996023
AT33;Innsbruck;1.3355665129633112
AT21;Klagenfurt;1.0649789580110274
AT31;Linz;2.793944118759656
AT32;Salzburg;1.7953810698714705
BE33;Liège;2.589235459662289
BG41;Blagoevgrad;12.579783409803637
BG34;Burgas;12.875591776521135
BG41;Pernik;12.579783409803637
BG31;Pleven;12.107626400400612
BG42;Plovdiv;8.207998936059063
BG32;Ruse;11.324327264984456
BG33;Shumen;11.137158225554966
BG34;Sliven;12.875591776521135
BG41;Sofia;12.579783409803637
BG34;Stara Zagora;12.875591776521135
BG33;Varna;11.137158225554966
BG31;Vidin;12.107626400400612
BG31;Vratsa;12.107626400400612
CH03;Basel;0.9821914713573048
CH02;Bern;1.8112450334803967
CH07;Lugano;1.8332898507053925
CZ06;Brno;3.113177936693145
CZ06;Jihlava;3.113177936693145
CZ08;Karviná;6.639260363547752
CZ02;Kladno;3.1882789122650768
CZ05;Liberec;3.61582092903323
CZ08;Ostrava;6.639260363547752
CZ05;Pardubice;3.61582092903323
CZ07;Zlín;1.7889311933993353
CZ04;Ústí nad Labem;5.532376707372983
DE50;Bremen;1.1386974131649301
DE50;Bremerhaven;1.1386974131649301
DE71;Darmstadt;0.8778786148759232
DED2;Dresden;2.090100819342307
DEA1;Duisburg;3.454200164031938
DEG0;Erfurt;0.8657279280994469
DEA1;Essen;3.454200164031938
DEB3;Kaiserslautern;1.162071765476901
DE73;Kassel;0.8731801898185134
DEB1;Koblenz;1.07278550344596
DED5;Leipzig;1.7674200749611115
DEB3;Ludwigshafen am Rhein;1.162071765476901
DEE0;Magdeburg;0.9912892720659859
DEB3;Mainz;1.162071765476901
DE80;Neubrandenburg;1.0182232828844286
DE94;Osnabrück;0.40294338929027385
DE40;Potsdam;1.5477948713479834
DE80;Rostock;1.0182232828844286
DEC0;Saarbrücken;1.8147364194614948
DE80;Stralsund;1.0182232828844286
DEB2;Trier;1.0241156056213971
DE72;Wetzlar;0.918340679244112
DE71;Wiesbaden;0.8778786148759232
DE91;Wolfsburg;1.0292913920028797
DK05;Aalborg;0.8709559337044321
EE00;Narva;0.30856277046036223
EE00;Tallinn;0.30856277046036223
EE00;Tartu;0.30856277046036223
ES11;A Coruña;1.6411186487822687
ES42;Albacete;2.9180846853977047
ES30;Alcalá de Henares;5.560227547809247
ES70;Arrecife;4.042428778593816
ES12;Avilés;6.387790128429995
ES43;Badajoz;0.6322178665092506
ES51;Barcelona;1.741942068429238
ES21;Bilbao;5.503249202204816
ES41;Burgos;4.181804222648752
ES62;Cartagena;4.839460214053048
ES42;Ciudad Real;2.9180846853977047
ES43;Cáceres;0.6322178665092506
ES61;Cádiz;4.565027579212941
ES61;Dos Hermanas;4.565027579212941
ES52;Elda;3.3285294287196634
ES11;Ferrol;1.6411186487822687
ES52;Gandia;3.3285294287196634
ES51;Girona;1.741942068429238
ES61;Granada;4.565027579212941
ES42;Guadalajara;2.9180846853977047
ES61;Jaén;4.565027579212941
ES70;Las Palmas;4.042428778593816
ES41;León;4.181804222648752
ES51;Lleida;1.741942068429238
ES23;Logroño;3.2141906832536145
ES11;Lugo;1.6411186487822687
ES30;Madrid;5.560227547809247
ES51;Manresa;1.741942068429238
ES61;Marbella;4.565027579212941
ES61;Málaga;4.565027579212941
FRI1;Bordeaux;0.7945345063061633
FRE1;Calais;1.6060762249437146
FRE1;Dunkerque;1.6060762249437146
FRK2;Grenoble;0.6724303877346155
