NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
AT22;Graz;1.409747125996023;SO2;25170;26352;µg/m3
AT33;Innsbruck;1.3355665129633112;SO2;8396;8784;µg/m3
AT21;Klagenfurt;1.0649789580110274;SO2;8517;8784;µg/m3
AT31;Linz;2.793944118759656;SO2;16162;17568;µg/m3
AT32;Salzburg;1.7953810698714705;SO2;8402;8784;µg/m3
AT13;Wien;0.6877269069837523;SO2;50039;52704;µg/m3
BE21;Antwerpen;1.4698356807511737;SO2;8520;8784;µg/m3
BE33;Liege;2.589235459662289;SO2;8528;8784;µg/m3
BG41;Blagoevgrad;12.579783409803637;SO2;59699;59699;µg/m3
BG34;Burgas;12.875591776521135;SO2;24477;24477;µg/m3
BG41;Pernik;12.579783409803637;SO2;59699;59699;µg/m3
BG31;Pleven;12.107626400400612;SO2;25375;25375;µg/m3
BG42;Plovdiv;8.207998936059063;SO2;15097;15097;µg/m3
BG32;Ruse;11.324327264984456;SO2;8629;8629;µg/m3
BG33;Shumen;11.137158225554966;SO2;25185;25185;µg/m3
BG34;Sliven;12.875591776521135;SO2;24477;24477;µg/m3
BG41;Sofia;12.579783409803637;SO2;59699;59699;µg/m3
BG34;Stara Zagora;12.875591776521135;SO2;24477;24477;µg/m3
BG33;Varna;11.137158225554966;SO2;25185;25185;µg/m3
BG31;Vidin;12.107626400400612;SO2;25375;25375;µg/m3
BG31;Vratsa;12.107626400400612;SO2;25375;25375;µg/m3
CH03;Basel;0.9821914713573048;SO2;8760;8784;µg/m3
CH02;Bern;1.8112450334803967;SO2;8522;8784;µg/m3
CH07;Lugano;1.8332898507053925;SO2;8761;8784;µg/m3
CH04;Zurich;0.9447636058424681;SO2;26203;26352;µg/m3
CY00;Lefkosia;2.629393740429761;SO2;17568;17568;µg/m3
CZ06;Brno;3.113177936693145;SO2;21794;26269;µg/m3
CZ03;Ceske Budejovice;3.2482580370262677;SO2;82034;87830;µg/m3
CZ06;Jihlava;3.113177936693145;SO2;21794;26269;µg/m3
CZ08;Karvina;6.639260363547752;SO2;50728;52207;µg/m3
CZ02;Kladno;3.1882789122650768;SO2;8361;8783;µg/m3
CZ05;Liberec;3.61582092903323;SO2;24929;26348;µg/m3
CZ08;Ostrava;6.639260363547752;SO2;50728;52207;µg/m3
CZ05;Pardubice;3.61582092903323;SO2;24929;26348;µg/m3
CZ03;Plzen;3.2482580370262677;SO2;82034;87830;µg/m3
CZ01;Praha;1.86247883836725;SO2;16540;17566;µg/m3
CZ07;Zlin;1.7889311933993353;SO2;7354;8783;µg/m3
CZ04;Usti nad Labem;5.532376707372983;SO2;9652;10223;µg/m3
DE30;Berlin;1.2073695757770406;SO2;3642;8784;µg/m3
DE50;Bremen;1.1386974131649301;SO2;43429;43920;µg/m3
DE50;Bremerhaven;1.1386974131649301;SO2;43429;43920;µg/m3
DE40;Cottbus;1.5805877313405072;SO2;17525;17568;µg/m3
DE71;Darmstadt;0.9654624813098927;SO2;52553;52704;µg/m3
DED2;Dresden;1.8179824676263299;SO2;17513;17568;µg/m3
DEA1;Duisburg;3.454200164031938;SO2;16791;17568;µg/m3
DEG0;Erfurt;0.8657279280994469;SO2;8745;8784;µg/m3
DEA1;Essen;3.454200164031938;SO2;16791;17568;µg/m3
DE71;Frankfurt am Main;0.9654624813098927;SO2;52553;52704;µg/m3
DED2;Gorlitz;1.8179824676263299;SO2;17513;17568;µg/m3
DE91;Gottingen;0.29858974949496747;SO2;16494;17568;µg/m3
DE60;Hamburg;3.4517808057182666;SO2;34855;35136;µg/m3
DE71;Hanau;0.9654624813098927;SO2;52553;52704;µg/m3
DEB3;Kaiserslautern;1.162071765476901;SO2;34966;35136;µg/m3
DE73;Kassel;0.8731801898185134;SO2;8709;8784;µg/m3
DEB1;Koblenz;1.07278550344596;SO2;8677;8784;µg/m3
DED5;Leipzig;1.7674200749611115;SO2;8746;8784;µg/m3
DEB3;Ludwigshafen am Rhein;1.162071765476901;SO2;34966;35136;µg/m3
DEE0;Magdeburg;0.9912892720659859;SO2;8669;8784;µg/m3
DEB3;Mainz;1.162071765476901;SO2;34966;35136;µg/m3
DE80;Neubrandenburg;1.0182232828844286;SO2;33697;35136;µg/m3
DE94;Osnabruck;0.40294338929027385;SO2;7989;8784;µg/m3
DE40;Potsdam;1.5805877313405072;SO2;17525;17568;µg/m3
DE80;Rostock;1.0182232828844286;SO2;33697;35136;µg/m3
DEC0;Saarbrucken;1.8147364194614948;SO2;8783;8784;µg/m3
DE80;Stralsund;1.0182232828844286;SO2;33697;35136;µg/m3
DEB2;Trier;1.0241156056213971;SO2;8763;8784;µg/m3
DE72;Wetzlar;0.918340679244112;SO2;8759;8784;µg/m3
DE71;Wiesbaden;0.9654624813098927;SO2;52553;52704;µg/m3
DE91;Wolfsburg;0.29858974949496747;SO2;16494;17568;µg/m3
DK05;Aalborg;0.8709559337044321;SO2;8147;8784;µg/m3
DK01;Kobenhavn;1.1663655606244594;SO2;8119;8784;µg/m3
EE00;Narva;0.30856277046036223;SO2;34650;35136;µg/m3
EE00;Tallinn;0.30856277046036223;SO2;34650;35136;µg/m3
EE00;Tartu;0.30856277046036223;SO2;34650;35136;µg/m3
ES11;A Coruna;2.0723412716415033;SO2;60292;61488;µg/m3
ES42;Albacete;2.746975151980169;SO2;33886;35136;µg/m3
ES30;Alcala de Henares;5.560227547809247;SO2;41310;42360;µg/m3
ES61;Almeria;4.1247312677837495;SO2;126520;136320;µg/m3
ES70;Arrecife;4.323678290213723;SO2;42672;52703;µg/m3
ES12;Aviles;6.09083224663935;SO2;42944;43920;µg/m3
ES43;Badajoz;0.6322178665092506;SO2;17093;17568;µg/m3
ES51;Barcelona;1.730041458101088;SO2;137247;140544;µg/m3
ES21;Bilbao;5.503249202204816;SO2;34470;35088;µg/m3
ES41;Burgos;3.621955856824006;SO2;60485;61489;µg/m3
ES62;Cartagena;4.839460214053048;SO2;8596;8784;µg/m3
ES42;Ciudad Real;2.746975151980169;SO2;33886;35136;µg/m3
ES43;Caceres;0.6322178665092506;SO2;17093;17568;µg/m3
ES61;Cadiz;4.1247312677837495;SO2;126520;136320;µg/m3
ES61;Dos Hermanas;4.1247312677837495;SO2;126520;136320;µg/m3
ES52;Elda;3.6862471136734665;SO2;67993;70272;µg/m3
ES11;Ferrol;2.0723412716415033;SO2;60292;61488;µg/m3
ES52;Gandia;3.6862471136734665;SO2;67993;70272;µg/m3
ES51;Girona;1.730041458101088;SO2;137247;140544;µg/m3
ES61;Granada;4.1247312677837495;SO2;126520;136320;µg/m3
ES42;Guadalajara;2.746975151980169;SO2;33886;35136;µg/m3
ES61;Jaen;4.1247312677837495;SO2;126520;136320;µg/m3
ES70;Las Palmas;4.323678290213723;SO2;42672;52703;µg/m3
ES41;Leon;3.621955856824006;SO2;60485;61489;µg/m3
ES51;Lleida;1.730041458101088;SO2;137247;140544;µg/m3
ES23;Logrono;3.2141906832536145;SO2;8569;8784;µg/m3
ES11;Lugo;2.0723412716415033;SO2;60292;61488;µg/m3
ES30;Madrid;5.560227547809247;SO2;41310;42360;µg/m3
ES51;Manresa;1.730041458101088;SO2;137247;140544;µg/m3
ES61;Marbella;4.1247312677837495;SO2;126520;136320;µg/m3
ES61;Malaga;4.1247312677837495;SO2;126520;136320;µg/m3
ES11;Ourense;2.0723412716415033;SO2;60292;61488;µg/m3
ES12;Oviedo;6.09083224663935;SO2;42944;43920;µg/m3
ES41;Palencia;3.621955856824006;SO2;60485;61489;µg/m3
ES53;Palma de Mallorca;2.841972557757711;SO2;17054;17568;µg/m3
ES11;Pontevedra;2.0723412716415033;SO2;60292;61488;µg/m3
ES41;Salamanca;3.621955856824006;SO2;60485;61489;µg/m3
ES70;Santa Cruz de Tenerife;4.323678290213723;SO2;42672;52703;µg/m3
