Country Or Territory;NUTS2;NUTS3;Year;Air Pollutant;Health Risk Scenario;Population;Populated Area [km2];Air Pollution Average [ug/m3];Air Pollution Population Weighted Average [ug/m3]
Italy;ITF1;ITF12;2018;NO2;WHO_2021_AQG_Scen_Base;315328;1254;8.1;12.1
Italy;ITF1;ITF13;2018;NO2;WHO_2021_AQG_Scen_Base;334974;881;8.0;13.5
Italy;ITF1;ITF14;2018;NO2;WHO_2021_AQG_Scen_Base;399594;1632;7.6;10.9
Italy;ITF1;ITF11;2018;NO2;WHO_2021_AQG_Scen_Base;312283;1335;7.3;14.3
Italy;ITF1;ITF12;2018;O3;WHO_2021_AQG_Scen_Base;315328;1254;3870.2;3264.4
Italy;ITF1;ITF13;2018;O3;WHO_2021_AQG_Scen_Base;334974;881;3091.4;2399.0
Italy;ITF1;ITF14;2018;O3;WHO_2021_AQG_Scen_Base;399594;1632;3678.2;2763.1
Italy;ITF1;ITF11;2018;O3;WHO_2021_AQG_Scen_Base;312283;1335;4199.8;3350.6
Italy;ITF1;ITF12;2018;PM2.5;WHO_2021_AQG_Scen_Base;315328;1254;11.4;12.8
Italy;ITF1;ITF13;2018;PM2.5;WHO_2021_AQG_Scen_Base;334974;881;11.7;13.5
Italy;ITF1;ITF14;2018;PM2.5;WHO_2021_AQG_Scen_Base;399594;1632;11.0;12.3
Italy;ITF1;ITF11;2018;PM2.5;WHO_2021_AQG_Scen_Base;312283;1335;8.5;11.2
Italy;ITF1;ITF12;2019;O3;WHO_2021_AQG_Scen_Base;311850;1254;6889.8;6028.5
Italy;ITF1;ITF13;2019;O3;WHO_2021_AQG_Scen_Base;331279;881;7193.6;6208.6
Italy;ITF1;ITF14;2019;O3;WHO_2021_AQG_Scen_Base;395185;1632;7384.1;6297.1
Italy;ITF1;ITF11;2019;O3;WHO_2021_AQG_Scen_Base;308837;1335;8199.0;6561.6
Italy;ITF1;ITF12;2019;PM2.5;WHO_2021_AQG_Scen_Base;311850;1254;10.7;11.9
Italy;ITF1;ITF13;2019;PM2.5;WHO_2021_AQG_Scen_Base;331279;881;10.8;12.2
Italy;ITF1;ITF14;2019;PM2.5;WHO_2021_AQG_Scen_Base;395185;1632;10.5;11.6
Italy;ITF1;ITF11;2019;PM2.5;WHO_2021_AQG_Scen_Base;308837;1335;8.1;10.7
Portugal;PT15;PT150;2018;PM10;WHO_2021_AQG_Scen_Base;432992;2754;14.8;18.0
Portugal;PT15;PT150;2019;NO2;WHO_2021_AQG_Scen_Base;432386;2754;4.3;9.2
Portugal;PT15;PT150;2020;NO2;WHO_2021_AQG_Scen_Base;433198;2754;3.0;6.5
Portugal;PT15;PT150;2020;O3;WHO_2021_AQG_Scen_Base;433198;2754;5704.3;4930.9
Portugal;PT15;PT150;2020;PM10;WHO_2021_AQG_Scen_Base;433198;2754;12.3;14.8
France;FRF1;FRF11;2018;PM2.5;WHO_2021_AQG_Scen_Base;1137550;2613;10.6;12.3
France;FRF1;FRF12;2018;PM2.5;WHO_2021_AQG_Scen_Base;779148;2058;9.8;11.2
France;FRF1;FRF11;2020;NO2;WHO_2021_AQG_Scen_Base;1142538;2613;10.0;15.9
France;FRF1;FRF12;2020;NO2;WHO_2021_AQG_Scen_Base;782565;2058;9.1;14.4
