Dataset: ;Last updated: ;Time frequency;Unit of measure;International classification of crime for statistical purposes (ICCS);Region;Year;Value;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Germany (until 1990 former territory of the FRG);2008;722;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Germany (until 1990 former territory of the FRG);2009;706;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Germany (until 1990 former territory of the FRG);2010.0;690.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Baden-Württemberg;2008;77;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Baden-Württemberg;2009;106;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Baden-Württemberg;2010.0;72.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Stuttgart, Stadtkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Stuttgart, Stadtkreis;2009;5;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Stuttgart, Stadtkreis;2010.0;6.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Böblingen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Böblingen;2009;3;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Böblingen;2010.0;3.0;
