Dataset: ;Last updated: ;Time frequency;Tenure status;Unit of measure;Time;HHCOMP (Labels);Region;Year;Value
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Total;36933038
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of married couple;16422992
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of married couple with at least one resident child under 25 years;6746166
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of couple in registered partnership;27765
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of couple in registered partnership with at least one resident child under 25 years;2500
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of couple in consensual union;2648511
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of couple in consensual union with at least one resident child under 25 years;847305
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of lone father living with at least one child;412948
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of lone father with at least one resident child 25 years or older;128732
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of lone mother with at least one resident child under 25 years;1744977
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);Household composed of two-or-more-family nucleus;484484
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Germany (until 1990 former territory of the FRG);One-person household;13764955
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Total;4618538
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of married couple;2196408
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of married couple with at least one resident child under 25 years;999690
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of couple in registered partnership;2535
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of couple in registered partnership with at least one resident child under 25 years;216
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of couple in consensual union;305697
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of couple in consensual union with at least one resident child under 25 years;79666
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of lone father living with at least one child;50641
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of lone father with at least one resident child 25 years or older;16059
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of lone mother with at least one resident child under 25 years;195911
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;Household composed of two-or-more-family nucleus;64205
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Baden-Württemberg;One-person household;1617875
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Total;1723173
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of married couple;832953
