Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW052","Konstanz","SPO.DE_DEBW052_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2022","13.457","ug/m3","99.44","3","Background","Urban","9.1693","47.6644","403.0","Konstanz                                                                        ","DE054C1                                           ","84911","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW094","Aachen-Burtscheid","SPO.DE_DENW094_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2022","13.307","ug/m3","98.76","3","Background","Urban","6.0938","50.7547","200.0","Aachen                                                                          ","DE507C1                                           ","248960","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_HE","Diana Rose","DEHE050","Zierenberg","SPO.DE_DEHE050_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2016","13.340","ug/m3","98.99","1","Background","Rural","9.2712","51.3608","489.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2016&Year_to=2016&Station=STA.DE_DEHE050&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_UB","Bryan Hellack","DEUB001","Westerland","SPO.DE_DEUB001_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","13.068","ug/m3","65.43","3","Background","Rural","8.3082","54.9250","12.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DEUB001&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW029","Aalen","SPO.DE_DEBW029_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2019","15.346","ug/m3","99.64","1","Background","Suburban","10.0963","48.8479","424.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.DE_DEBW029&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW259","Mönchengladbach Friedrich-Ebert-Straße","SPO.DE_DENW259_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","23.127","ug/m3","98.91","1","Traffic","Urban","6.4399","51.1694","65.0","Mönchengladbach                                                                 ","DE036C1                                           ","261034","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DENW259&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW337","Jüchen-Hochneukirch","SPO.DE_DENW337_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2020","19.546","ug/m3","99.25","1","Industrial","Rural","6.4695","51.0976","83.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA.DE_DENW337&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW337","Jüchen-Hochneukirch","SPO.DE_DENW337_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2015","23.159","ug/m3","65.67","1","Industrial","Rural","6.4695","51.0976","83.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA.DE_DENW337&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW038","Friedrichshafen","SPO.DE_DEBW038_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2019","14.510","ug/m3","99.65","1","Background","Urban","9.4857","47.6601","404.0","Friedrichshafen                                                                 ","DE072C1                                           ","61283","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.DE_DEBW038&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW131","Duisburg Kiebitzmühlenstraße","SPO.DE_DENW131_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","28.283","ug/m3","98.54","1","Industrial","Urban","6.7470","51.5061","27.0","Duisburg                                                                        ","DE501C1                                           ","498686","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DENW131&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
