City,Latitude,Longitude
Berlin,52.5170365,13.3888599
Braunschweig,52.2646577,10.5236066
Bremen,53.0758196,8.8071646
Chemnitz,50.8322608,12.9252977
Darmstadt,49.8851869,8.6736295
Dresden,51.0493286,13.7381437
Düsseldorf,51.2254018,6.7763137
Gießen,50.5862066,8.6742306
Hamburg,53.550341,10.000654
Hannover,52.3744779,9.7385532
Karlsruhe,49.0068705,8.4034195
Kassel,51.3154546,9.4924096
Koblenz,50.3533278,7.5943951
Köln,50.938361,6.959974
Leipzig,51.3406321,12.3747329
Lüneburg,53.248706,10.407855
Münster,51.9625101,7.6251879
Stuttgart,48.7784485,9.1800132
Trier,49.7596208,6.6441878
Tübingen,48.5236164,9.0535531
