WHO Region,ISO3,WHO Country Name,City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Reference,Number and type of monitoring stations,Version of the database,Status
European Region,DEU,Germany,Aachen,2010,,25.95,37.28,,97.882,92.677,European Environment Agency (downloaded in 2021),4 urban,2022,
European Region,DEU,Germany,Aachen,2013,,,41.19,,,98.7024353133333,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aachen,2014,,23.22,36.72,,,96.84170472,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aachen,2015,,21.49,37.01,,81.09589041,90.7001522066666,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aachen,2016,,19.66,39.35,,,97.9792805075,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aachen,2017,,18.84,35.24,,,94.30650685,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aachen,2018,,19.17,35.16,,100.0,97.6369863025,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aachen,2019,,17.14,29.68,,100.0,98.95262557,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2010,,21.05,22.47,,99.5265,95.594,European Environment Agency (downloaded in 2021),3 suburban,2022,
European Region,DEU,Germany,Aalen,2013,,17.67,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2014,,17.54,21.77,,,97.52283105,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2015,,18.37,23.25,,,98.00228311,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2016,,15.94,21.3,,,97.96220401,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2017,,16.07,20.4,,,97.47716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2018,,15.71,21.72,,,98.04794521,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aalen,2019,,13.64,21.33,,,97.65981735,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alsfeld,2019,,,42.29,,,90.43378995,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2010,,22.5,7.88,,97.243,97.283,European Environment Agency (downloaded in 2021),3 rural,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2014,,19.72,7.81,,,98.97260274,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2015,,19.34,8.14,,,99.15525114,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2016,,16.17,7.17,,,99.65846995,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2017,,15.39,6.24,,,98.77853881,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2018,13.42,17.44,7.71,,,99.85159817,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Alt Zauche-Wusswerk,2019,9.91,14.27,6.56,,,98.24200913,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenberg,2014,,,8.46,,,99.7716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenberg,2015,,,7.55,,,99.34931507,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenberg,2016,,,6.07,,,98.53142077,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenberg,2017,,,6.72,,,99.32648402,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenberg,2018,,,6.82,,,99.39497717,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenberg,2019,,,6.38,,,99.56621005,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2010,,24.52,18.45,,98.151,96.872,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Altenburg,2013,,20.56,20.42,,,99.76027397,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2014,,21.08,17.36,,,99.64611872,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2015,,16.9,18.36,,,99.66894977,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2016,,15.55,17.72,,,99.70400729,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2017,,15.93,18.1,,,98.92694064,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2018,,17.55,16.56,,,99.73744292,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altenburg,2019,,14.38,14.66,,,99.64611872,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Altstadt,2019,,,32.99,,,99.61187215,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2010,,16.49,8.04,,98.927,99.155,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Andechs,2013,10.3,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2014,8.2,10.31,7.32,,,98.84703196,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2015,8.74,11.96,7.44,,,99.10958904,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2016,7.89,11.58,6.8,,,98.87295082,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2017,8.93,12.34,7.14,,,99.55479452,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2018,10.68,13.79,6.75,,,99.32648402,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Andechs,2019,7.8,11.28,6.9,,,99.78310502,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2010,,,26.33,,,98.539,European Environment Agency (downloaded in 2021),1 urban,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2013,14.29,19.62,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2014,14.14,19.06,19.7,,,98.23059361,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2015,,,20.42,,,99.6347032,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2016,,,19.88,,,99.10063752,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2017,,15.17,18.7,,,98.92694064,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2018,,17.05,19.77,,,99.57762557,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Annaberg-Buchholz,2019,,13.66,17.67,,,99.5890411,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2010,,25.2,34.55,,99.737,99.886,European Environment Agency (downloaded in 2021),2 urban,2022,
